#,单词,音标,解释,笔记
1170,"repair","英:/rɪˈpeə(r)/ 美:/rɪˈper/","- vi. 修复；修理
- vt. 恢复；修理；补救，纠正
- n. 修理，修补；修补部位


时 态:  
repaired, repairing, repairs 

名 词:  
repairability

形容词:  
repairable

名 词:  
repairer",
1171,"repaint","/ri:'peint/","- vt. 再次(重新)油漆,再次(重新)画
- 恢复…原来的色彩
- n. 再次(重新)油漆,再次(重新)画
- 重新涂漆的东西",
1172,"rep","英:/rep/ 美:/rɛp/","- n. 棱纹平布；雷普（物体伦琴当量）
- abbr. 名声（reputation）；代表（representative）

REPabbr. Range Estimating Programme 距离估算程序",
1173,"reopen","英:/riː'əʊp(ə)n/ 美:/ˌri'opən/","- vt. 使再开，使重开
- vi. 重开


时 态:  
reopened, reopening, reopens",
1174,"rental","英:/ˈrentl/ 美:/ˈrentl/","- n. 租赁；租金收入，租金
- adj. 租赁的；收取租金的",
1175,"rent","英:/rent/ 美:/rent/","- n. 租金
- vt. 租借；出租；租用
- vi. 出租；租


时 态:  
rented, renting, rents 

形容词:  
rentable",
1176,"renowned","英:/rɪˈnaʊnd/ 美:/rɪˈnaʊnd/","adj. 有名的;享有声誉的",
1177,"renown","英:/rɪˈnaʊn/ 美:/rɪˈnaʊn/","n. 名望; 声誉",
1178,"renovation","英:/ˌrenəˈveɪʃn/ 美:/ˌrenəˈveɪʃn/","n. 翻新;修复;整修",
1179,"renovate","英:/ˈrenəveɪt/ 美:/ˈrenəveɪt/","v. 修复；翻新；重新粉刷；整修（尤指建筑物）

时 态:  
renovated，renovating，renovates 

名 词:  
renovation

名 词:  
renovator",
1180,"renewal","英:/rɪˈnjuːəl/ 美:/rɪˈnuːəl/","- n. 重建;更新
- 重生",
1181,"renewable","英:/rɪˈnjuːəbl/ 美:/rɪˈnuːəbl/","adj. 可继续的,可续订的",
1182,"renew","英:/rɪˈnjuː/ 美:/rɪˈnuː/","- vt. 使更新；复兴；重申；续借
- vi. 更新；重新开始


时 态:  
renewed, renewing, renews 

名 词:  
renewer",
1183,"renegotiate","英:/riːnɪ'gəʊʃɪeɪt/ 美:/ˌrinɪˈɡoʃiˌet/","vt. 重新谈判

时 态:  
renegotiated, renegotiating, renegotiates 

形容词:  
renegotiable

名 词:  
renegotiation",
1184,"remunerate","英:/rɪˈmjuːnəreɪt/ 美:/rɪˈmjuːnəreɪt/","vt. 酬劳

时 态:  
remunerated, remunerating, remunerates 

名 词:  
remunerator",
1185,"removed","英:/rɪ'muːvd/ 美:/rɪ'mʊvd/","- adj. 远离的；隔了...代的
- v. remove的变形",
1186,"remove","英:/rɪˈmuːv/ 美:/rɪˈmuːv/","- vt. 移开；拿开；去掉；除去；调动
- 排除，去除，打消（负面情绪）
- 将…免职；开除；解除（某人的职务）
- 脱去（衣服等）；摘下
- n. 【正式】距离；差距；间距


时 态:  
removed, removing, removes 

名 词:  
remover",
1187,"remote","英:/rɪˈməʊt/ 美:/rɪˈmoʊt/","- adj. (时间上)遥远的；(亲属关系上)远的
- 远离的，遥远的；偏僻的
- 冷淡的，疏远的，漠不关心的
- 微小的；轻微的

比较级:  
remoter，remotest 

副 词:  
remotely

名 词:  
remoteness",
1188,"remorse","英:/rɪˈmɔːs/ 美:/rɪˈmɔːrs/","n. 懊悔, 悔恨, 自责",
1189,"remit","英:/ˈriːmɪt/ 美:/ˈriːmɪt/","- vt. 宽恕；免除；减轻；传送；使恢复原状
- vi. 汇款；缓和
- n. 移交的事物


时 态:  
remitted, remitting, remits 

名 词:  
remitter",
1190,"reminder","英:/rɪˈmaɪndə(r)/ 美:/rɪˈmaɪndər/","n. 令人回忆起…的东西, 提醒…的东西",
1191,"remind","英:/rɪˈmaɪnd/ 美:/rɪˈmaɪnd/","vt. 使想起

时 态:  
reminded, reminding, reminds 

名 词:  
reminder",
1192,"remember","英:/rɪ'membə/ 美:/rɪ'mɛmbɚ/","- vt. & vi. 记得；牢记
- vt. 送钱[礼物]给…

时 态:  
remembered，remembering，remembers 

形容词:  
rememberable

名 词:  
rememberer",
1193,"remarkably","英:/ri'ma:kəbli/ 美:/rɪˈm ɑrkəblɪ/","adv. 引人注目地;明显地;非常地",
1194,"remarkable","英:/rɪˈmɑːkəbl/ 美:/rɪˈmɑːrkəbl/","adj. 异常的; 引人注目的; 不寻常的

副 词:  
remarkably",
1195,"remark","英:/rɪˈmɑːk/ 美:/rɪˈmɑːrk/","- n. 话语，评论
- 注意；看；观察
- vt. & vi. 谈论，评论
- vt. 注意到…

时 态:  
remarked，remarking，remarks",
1196,"remains","英:/rɪˈmeɪnz/ 美:/rɪˈmeɪnz/","n. 残余,遗迹,遗体",
1197,"remain","英:/rɪ'meɪn/ 美:/rɪˈmeɪn/","- v. 仍然是；保持不变
- 剩余；遗留；继续存在
- 仍需去做（或说、处理）
- 逗留；不离去
- n.  残余（物），剩余（物）；遗迹（remains）
- 残骸；遗体（remains）

时 态:  
remained，remaining，remains",
1198,"rely","英:/rɪˈlaɪ/ 美:/rɪˈlaɪ/","vi. 信赖；依靠


时 态:  
relied, relying, relies 

名 词:  
relier",
1199,"reluctant","英:/rɪˈlʌktənt/ 美:/rɪˈlʌktənt/","adj. 不情愿的, 勉强的

副 词:  
reluctantly",
1200,"relocation","/ˌri:ləu'keiʃən/","n. 再布置,变换布置",
1201,"relief","英:/rɪˈliːf/ 美:/rɪˈliːf/","n. 减轻，解除；救济；安慰",
1202,"reliable","英:/rɪˈlaɪəbl/ 美:/rɪˈlaɪəbl/","adj. 可靠的, 可信赖的

副 词:  
reliably",
1203,"reliability","英:/ri,laiə'biləti/ 美:/rɪˌlaɪəˈbɪlətɪ/","n. 可靠，可信赖",
1204,"relevant","英:/ˈreləvənt/ 美:/ˈreləvənt/","adj. 有关的, 切题的

副 词:  
relevantly",
1205,"release","英:/rɪˈliːs/ 美:/rɪˈliːs/","- vt. 释放；放开
- 发布；发行；发售
- n. 释放，排放，解除
- 释放令
- 公映的新影片，发布的新闻[消息]

时 态:  
released，releasing，releases",
1206,"relaxed","英:/rɪˈlækst/ 美:/rɪ'lækst/","- adj. 松懈的，放松的；不严格的，不拘束的；悠闲的，自在的
- v. relax的过去式和过去分词",
1207,"relax","英:/rɪ'læks/ 美:/rɪ'læks/","- vt. & vi. (使)轻松
- (使)松弛；放宽

时 态:  
relaxed，relaxing，relaxes",
1208,"relatively","英:/'relətɪvlɪ/ 美:/'rɛlətɪvli/","- adv. 相对地，比较而言；相当
- 相对来说；相比较而言",
1209,"relative","英:/ˈrelətɪv/ 美:/ˈrelətɪv/","- adj. 相对的；有关系的；成比例的
- n. 亲戚；关系词；相关物；亲缘植物


名 词:  
relativeness",
1210,"relationship","英:/rɪ'leɪʃ(ə)nʃɪp/ 美:/rɪ'leʃən'ʃɪp/","n. 关系, 联系",
1211,"relation","英:/rɪˈleɪʃn/ 美:/rɪˈleɪʃn/","n. 关系；亲属关系；叙述；故事",
1212,"related","英:/rɪˈleɪtɪd/ 美:/rɪˈleɪtɪd/","- adj. 讲述的，叙述的；有关系的，有关联的
- v. 叙述（relate过去式）",
1213,"relate","英:/rɪˈleɪt/ 美:/rɪˈleɪt/","- vt. & vi. (把…)联系起来
- vt. 讲述；叙述

时 态:  
related，relating，relates 

名 词:  
relater",
1214,"reject","英:/rɪˈdʒekt/ 美:/rɪˈdʒekt/","- vt. 拒绝；抵制；丢弃；排斥
- n. 被弃之物或人；次品


时 态:  
rejected, rejecting, rejects 

形容词:  
rejective",
1215,"reinforcement","英:/ˌriːɪnˈfɔːsmənt/ 美:/ˌriːɪnˈfɔːrsmənt/","- n. 援军；增援警力
- (感情或思想等的)巩固，加强，强化",
1216,"reimbursement","英:/ˌri:ɪmˈbɜ:smənt/ 美:/ˌriɪm'bɝsmənt/","- n. 偿还;退款
- 补偿;赔偿",
1217,"reimburse","英:/ˌriːɪmˈbɜːs/ 美:/ˌriːɪmˈbɜːrs/","vt. 偿还；付还

时 态:  
reimbursed, reimbursing, reimburses 

名 词:  
reimbursement",
1218,"rehearsal","英:/rɪ'hɜːs(ə)l/ 美:/rɪ'hɝsl/","n. 练习, 排练, 排演",
1219,"regulation","英:/ˌreɡjuˈleɪʃn/ 美:/ˌreɡjuˈleɪʃn/","- n. 管理，控制
- 规章；规则",
1220,"regulate","英:/ˈreɡjuleɪt/ 美:/ˈreɡjuleɪt/","vt. 调节，规定；有系统的管理；控制；校准


时 态:  
regulated, regulating, regulates",
1221,"regularly","英:/'reɡjələli/ 美:/ˈr ɛɡjəlɚlɪ/","- adv. 有规律地
- 定期地
- 经常地,习惯性地
- 整齐地,均匀地",
1222,"regularity","英:/reɡjʊ'lærətɪ/ 美:/ˌrɛɡju'lærəti/","- n. 规则性，规律性，一致性
- 端正，整齐，匀称
- 有规律的事物
- 正规；经常，定期",
1223,"regular","英:/ˈreɡjələ(r)/ 美:/ˈreɡjələr/","- adj. 整齐的；定期的；有规律的；合格的
- n. 正式队员；常客；中坚分子
- adv. 经常地；定期地


名 词:  
regularity

副 词:  
regularly",
1224,"regroup","英:/riː'gruːp/ 美:/ˌri'ɡrup/","vt. & vi. (使)重新组合；(使)重新编组

时 态:  
regrouped，regrouping，regroups",
1225,"registration","英:/ˌredʒɪˈstreɪʃn/ 美:/ˌredʒɪˈstreɪʃn/","- n. 登记,注册,挂号
- 登记项目,记录事项
- 登记(或注册、挂号)人数
- (管风琴)音栓配合(法)",
1226,"registered","英:/'redʒɪstəd/ 美:/'rɛdʒɪstɚd/","- adj. 注册的;登记过的;已挂号的
- (动物)附有血统证明的
- (证券等)记名的",
1227,"register","英:/ˈredʒɪstə(r)/ 美:/ˈredʒɪstər/","- vt. 记录；注册；登记；把…挂号；挂号邮寄；正式提出
- vi. 登记；注册；挂号
- n. 注册；登记簿；登记；记录；寄存器


时 态:  
registered, registering, registers 

形容词:  
registrable",
1228,"regional","英:/ˈriːdʒənl/ 美:/ˈriːdʒənl/","adj. 地区的；整个地区的；局部的


副 词:  
regionally",
1229,"region","英:/ˈriːdʒən/ 美:/ˈriːdʒən/","n. 地区；范围；部位",
1230,"regime","英:/reɪˈʒiːm/ 美:/reɪˈʒiːm/","n. 政权，政体；社会制度；管理体制",
1231,"regardless","英:/rɪˈɡɑːdləs/ 美:/rɪˈɡɑːrdləs/","- adv. 不顾后果地
- 不管怎样, 无论如何

副 词:  
regardlessly

名 词:  
regardlessness",
1232,"regarding","英:/rɪˈɡɑːdɪŋ/ 美:/rɪˈɡɑːrdɪŋ/","prep. (表示论及)关于; 至于; 就…而论",
1233,"regard","英:/rɪˈɡɑːd/ 美:/rɪˈɡɑːrd/","- n. 注意；尊重；凝视；问候
- vt. 把…看作；注重，考虑；看待；尊敬；与…有关
- vi. 注意，注重；注视


时 态:  
regarded, regarding, regards",
1234,"refuse","英:/rɪˈfjuːz/ 美:/rɪˈfjuːz/","- vt. & vi. 拒绝；回绝
- n. 废物；垃圾

时 态:  
refused，refusing，refuses 

名 词:  
refuser",
1235,"refusal","英:/rɪˈfjuːzl/ 美:/rɪˈfjuːzl/","n. 拒绝；优先取舍权；推却；取舍权",
1236,"refund","英:/ˈriːfʌnd/ 美:/ˈriːfʌnd/","- n. 归还, 偿还额, 退款
- vt. 归还, 退还

时 态:  
refunded, refunding, refunds 

形容词:  
refundable

名 词:  
refundment",
1237,"refreshment","英:/rɪˈfreʃmənt/ 美:/rɪˈfreʃmənt/","- n. 茶点；点心
- (精力的)恢复，精神爽快",
1238,"refreshing","英:/rɪ'freʃɪŋ/ 美:/ri'frɛʃɪŋ/","- adj. 耳目一新的;新颖的;新鲜的
- 使人精神焕发的;使恢复精神的

副 词:  
refreshingly",
1239,"refrain from","","忍住, 抑制, 制止",
1240,"refrain","英:/rɪˈfreɪn/ 美:/rɪˈfreɪn/","- vi. 制止；避免；节制，克制
- n. 叠句，副歌；重复


时 态:  
refrained, refraining, refrains",
1241,"reflect","英:/rɪˈflekt/ 美:/rɪˈflekt/","- vt. 反射，照出；反省；反映
- vi. 反射，映现；深思


时 态:  
reflected, reflecting, reflects",
1242,"refinance","英:/riː'faɪnæns/ 美:/ˌri'faɪnæns/","vt. 再为…筹钱,再供…资金

时 态:  
refinanced, refinancing, refinances 

名 词:  
refinance",
1243,"refill","英:/riː'fɪl/ 美:/'rifɪl/","- vi. 被再注满
- vt. 再装满；再充满
- n. 替换物；再注满


时 态:  
refilled, refilling, refills",
1244,"reference","英:/ˈrefrəns/ 美:/ˈrefrəns/","- n. 提及，涉及
- 参考，查阅
- 引文；参考书目
- 证明书；推荐信；证明人；推荐人

时 态:  
referenced，referencing，references 

形容词:  
referential",
1245,"refer","英:/rɪˈfɜː(r)/ 美:/rɪˈfɜːr/","- vi. 提到；针对；关系到
- vt. 送交；提交
- 归于
- vt. & vi. 参考；查阅

时 态:  
referred，referring，refers 

形容词:  
referable

名 词:  
referral",
1246,"reed","英:/riːd/ 美:/rid/","- n. 芦苇；簧片；牧笛；不可依靠的人
- vt. 用芦苇盖；用芦苇装饰

Reed里德(①姓氏, 男子名 ②Walter, 1851-1902, 美国军医, 黄热病原发现者)",
1247,"redundant","英:/rɪˈdʌndənt/ 美:/rɪˈdʌndənt/","- adj. 因人员过剩而被解雇的
- 不需要的; 多余的

副 词:  
redundantly",
1248,"reduction","英:/rɪˈdʌkʃn/ 美:/rɪˈdʌkʃn/","n. 减少，缩小；减少的量，降价
Reduction
- n. 减少；缩小；降低
- 缩图；缩版",
1249,"reducing","英:/ri'dju:siŋ/ 美:/rɪˈdusɪŋ/","n. 减轻体重法",
1250,"reduced","/ri'dju:st/","adj. 减少的；简化的；缩减的",
1251,"reduce","英:/rɪˈdjuːs/ 美:/rɪˈduːs/","- vt. 减少；降低；把…分解；使处于
- vi. 减少；缩小；归纳为


时 态:  
reduced, reducing, reduces 

名 词:  
reducer

名 词:  
reducibility

形容词:  
reducible",
1252,"red","英:/red/ 美:/red/","- adj. 红色的；褐红色的；深红的；深紫色的
- 布满血丝的；眼眶发红的；充血的；涨红的
- 支持左翼政治观点的；社会党的
- n. 红色
- 红衣服
- 拥护社会主义和共产主义的人；革命分子，激进分子
REDabbr. Radio Equipment Department (海军)无线电设备处
REDabbr. Radio Equipment Department 〈美〉(海军)无线电设备处

比较级:  
redder，reddest 

副 词:  
redly

名 词:  
redness",
1253,"recycle","英:/ˌriːˈsaɪkl/ 美:/ˌriːˈsaɪkl/","vt. 回收利用

时 态:  
recycled, recycling, recycles 

形容词:  
recyclable

名 词:  
recycler",
1254,"rectify","英:/ˈrektɪfaɪ/ 美:/ˈrektɪfaɪ/","vt. 改正；[电]整流；[化]精馏


时 态:  
rectified, rectifying, rectifies 

形容词:  
rectifiable

名 词:  
rectification",
1255,"recruitment","英:/rɪˈkruːtmənt/ 美:/rɪˈkruːtmənt/","- n. 征募新兵
- 补充",
1256,"recruit","英:/rɪˈkruːt/ 美:/rɪˈkruːt/","- n. 新兵
- (机构中的)新成员
- vt. 招聘；吸引(新成员)
- 吸收某人为新成员
- vt. & vi. 招募，征募(新兵)
- 恢复健康，恢复体力

时 态:  
recruited，recruiting，recruits 

名 词:  
recruiter

名 词:  
recruitment",
1257,"recover","英:/rɪˈkʌvə(r)/ 美:/rɪˈkʌvər/","- vt. 恢复；重新获得；弥补
- vi. 恢复；胜诉；[体]重新得球
- n. 还原至预备姿势


时 态:  
recovered, recovering, recovers 

形容词:  
recoverable

名 词:  
recoverer",
1258,"recording","英:/rɪˈkɔːdɪŋ/ 美:/rɪˈkɔːrdɪŋ/","- n. 记录;录音;录像
- 唱片;录制品
- adj. 记录的;录音的;录影的",
1259,"record","英:/ˈrekɔːd , rɪˈkɔːd/ 美:/ˈrekərd , rɪˈkɔːrd/","- vt. & vi. 记录；录音，拍摄
- vt. 显示；自动记下
- n. 记录，记载
- 最好的成绩，水平；纪录
- 经历，履历；功过

时 态:  
recorded，recording，records",
1260,"reconsider","英:/riːkən'sɪdə/ 美:/ˌrikən'sɪdɚ/","vt. 重新考虑

时 态:  
reconsidered, reconsidering, reconsiders 

名 词:  
reconsideration",
1261,"reconfigure","英:/riːkən'fɪgə/ 美:/ˌrikən'fɪɡjɚ/","v. 重新装配,改装

时 态:  
reconfigured, reconfiguring, reconfigures",
1262,"reconciliation","英:/ˌrekənsɪliˈeɪʃn/ 美:/ˌrekənsɪliˈeɪʃn/","- n. 和解，调和；一致；勉强接受
- (争吵等的)止息；和解",
1263,"reconcile","英:/ˈrekənsaɪl/ 美:/ˈrekənsaɪl/","- vt. 使和好；和解
- 使一致，使和谐

时 态:  
reconciled，reconciling，reconciles 

名 词:  
reconcilement

名 词:  
reconciler

形容词:  
reconciliatory",
1264,"recommendation","英:/ˌrekəmenˈdeɪʃn/ 美:/ˌrekəmenˈdeɪʃn/","- n. 推荐, 劝告, 建议(尤做法)
- 推荐信, 介绍信

形容词:  
recommendatory",
1265,"recommend","英:/ˌrekəˈmend/ 美:/ˌrekəˈmend/","- vt. 推荐, 介绍, 赞许某人[某事物]
- 劝告, 建议
- (特质等)使…显得可取

时 态:  
recommended, recommending, recommends 

形容词:  
recommendable",
1266,"recollection","英:/ˌrekəˈlekʃn/ 美:/ˌrekəˈlekʃn/","- n. 回忆, 追忆
- 往事, 回忆录",
1267,"recognize","英:/ˈrekəɡnaɪz/ 美:/ˈrekəɡnaɪz/","- vt. 认出，识别出某人[某事物]
- 承认…有效[属实]；认可
- 承认[认清](某事物)；认识到

时 态:  
recognized，recognizing，recognizes 

形容词:  
recognizable

副 词:  
recognizably

名 词:  
recognizer",
1268,"recognition","英:/ˌrekəɡˈnɪʃn/ 美:/ˌrekəɡˈnɪʃn/","- n. 认识；认出；承认
- 〈正〉酬谢，酬劳

形容词:  
recognitory",
1269,"reclaim","英:/rɪˈkleɪm/ 美:/rɪˈkleɪm/","- vt. 要求收回
- 开拓(荒地)；开垦
- 从废料中回收(有用的材料)
- 纠正；教化，改造

时 态:  
reclaimed，reclaiming，reclaims 

形容词:  
reclaimable",
1270,"recital","英:/rɪˈsaɪtl/ 美:/rɪˈsaɪtl/","n. 背诵；朗诵，吟诵；独奏会；独唱会",
1271,"recipe","英:/ˈresəpi/ 美:/ˈresəpi/","- n. 烹饪法; 食谱
- 方法; 秘诀; 诀窍",
1272,"recession","英:/rɪˈseʃn/ 美:/rɪˈseʃn/","- n. 经济衰退; 不景气
- 后退; 撤退; 撤回",
1273,"receptive","英:/rɪˈseptɪv/ 美:/rɪˈseptɪv/","adj. (对新的思想等)善于接受的

副 词:  
receptively",
1274,"receptionist","英:/rɪˈsepʃənɪst/ 美:/rɪˈsepʃənɪst/","n. (旅馆、事务所等雇用的)接待员",
1275,"reception","英:/rɪˈsepʃn/ 美:/rɪˈsepʃn/","- n. 接待, 接见
- 招待会, 欢迎会
- 接待处, 服务台, 问询处
- 接收效果",
1276,"receptacle","英:/rɪ'septək(ə)l/ 美:/rɪ'sɛptəkl/","n. 容器;放置物品的地方",
1277,"recently","/'risntli/","adv. 最近；新近",
1278,"recent","英:/ˈriːsnt/ 美:/ˈriːsnt/","adj. 不久前的, 近来的
Recent全新世

副 词:  
recently",
1279,"received","英:/rɪ'siːvd/ 美:/rɪ'sivd/","- adj. 被认为标准的；被一般承认的
- v. 收到；接受；迎接（receive的过去分词）",
1280,"receive","英:/rɪ'siːv/ 美:/rɪ'siv/","- vt. & vi. 收到，接到
- 接纳；接待

时 态:  
received，receiving，receives",
1281,"receipt","英:/rɪˈsiːt/ 美:/rɪˈsiːt/","- n. 收到；收据；收入
- vt. 收到


时 态:  
receipted, receipting, receipts",
1282,"recall","英:/rɪˈkɔːl/ 美:/rɪˈkɔːl/","- vt. & vi. 回忆起, 回想
- vt. 召回, 收回
- n. 召回, 唤回
- 记忆力

时 态:  
recalled, recalling, recalls 

形容词:  
recallable",
1283,"recalculate","英:/riː'kælkjʊleɪt/ 美:/riˈkælkjəˌlet/","vt. 重新计算

时 态:  
recalculated, recalculating, recalculates 

名 词:  
recalculation",
1284,"rebuild","英:/riː'bɪld/ 美:/ˌri'bɪld/","- vt. 重建；改造，重新组装；复原
- vi. 重建


时 态:  
rebuilt 
rebuilding, rebuilds",
1285,"reassure","英:/ˌriːəˈʃʊə(r)/ 美:/ˌriːəˈʃʊr/","vt. 消除恐惧或疑虑；恢复信心

时 态:  
reassured，reassuring，reassures 

名 词:  
reassurance

副 词:  
reassuringly",
1286,"reassign","英:/riːə'saɪn/ 美:/'riə'saɪn/","vt. 再分配,再指定

时 态:  
reassigned, reassigning, reassigns 

名 词:  
reassignment",
